"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are based on Redesigned income questions and CPS ASEC sample of 30,000 addresses, see footnote.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2014 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals. The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
.Married-couple families,"59,626",635,416,932,"1,424","1,768","2,172","2,210","2,287","2,393","2,301","2,349","2,174","2,533","2,063","2,368","2,206","1,975","1,710","1,814","1,645","1,751","1,297","1,389","1,174","1,010",949,992,871,796,818,"1,010",617,637,600,573,464,576,436,351,262,"5,678","78,897",826,"102,283","1,141",0.414,0.0047,"32,227",377
".Male householder, nsp","6,486",184,171,240,314,403,356,372,400,319,302,350,225,333,225,207,204,155,255,148,126,80,123,103,44,109,74,38,46,24,54,34,44,35,38,33,21,8,11,11,14,251,"52,480","1,659","70,118","3,170",0.450,0.0176,"22,660","1,008"
".Female householder, nsp","16,158","1,090","1,012","1,162","1,252","1,364","1,090","1,025",883,879,743,592,525,650,471,341,357,392,305,184,208,147,174,151,118,136,74,79,77,58,62,93,56,29,8,23,49,35,18,10,25,208,"35,412",919,"49,834","1,765",0.487,0.0158,"15,307",568
Nonfamily households,"41,660","2,345","2,987","4,556","4,095","3,374","2,663","2,381","2,012","2,101","1,662","1,451","1,379","1,398",927,867,781,791,480,541,337,542,424,330,280,349,286,225,188,178,151,180,52,64,119,95,94,137,48,72,45,674,"31,480",578,"47,050",836,0.497,0.0057,"38,169",675
.Male householder,"19,834","1,144","1,107","1,764","1,583","1,290","1,161","1,014",980,"1,131",851,705,747,868,473,519,355,479,266,332,188,306,247,241,194,209,153,193,121,113,110,144,26,39,76,57,63,82,37,51,28,388,"39,379","1,018","54,342","1,359",0.489,0.0091,"41,578","1,090"
..Living alone,"15,579","1,056","1,015","1,683","1,454","1,071","1,056",782,819,882,639,541,513,645,333,355,247,315,183,184,119,189,139,153,117,157,99,102,66,46,63,88,14,18,57,38,20,54,21,29,5,213,"32,403","1,246","46,106","1,280",0.487,0.0095,"46,106","1,280"
.Female householder,"21,827","1,201","1,880","2,792","2,513","2,085","1,502","1,368","1,033",969,811,746,632,530,454,348,426,311,215,209,149,236,178,89,86,140,133,32,67,65,41,35,26,24,43,37,31,56,10,21,17,286,"26,238",619,"40,425",906,0.491,0.0070,"34,695",746
..Living alone ,"19,014","1,142","1,812","2,692","2,412","1,941","1,320","1,225",956,847,657,652,539,407,332,266,303,218,146,135,102,167,94,35,60,87,72,14,58,18,19,16,21,10,13,17,14,25,1,21,0,147,"23,624",595,"34,585",856,0.469,0.0078,"34,585",856
AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,862","3,589","3,205","4,071","4,273","4,665","4,024","4,369","3,990","4,322","3,837","3,467","3,334","3,974","3,041","3,044","2,739","2,665","2,266","2,295","1,981","2,178","1,766","1,656","1,368","1,400","1,235","1,148",970,913,934,"1,225",703,661,686,636,510,656,464,387,312,"5,906","60,265",469,"80,768",827,0.470,0.0038,"29,356",290
..15 to 24 years,"6,652",548,317,543,382,737,453,424,362,419,311,289,212,255,252,92,111,110,100,43,95,59,78,76,13,68,36,20,21,45,20,20,5,32,3,13,1,14,0,7,2,63,"33,791","1,919","45,164","1,766",0.466,0.0160,"19,024",822
..25 to 34 years,"19,988",820,606,849,984,878,"1,014","1,186","1,048","1,113",991,848,810,991,678,746,689,616,478,560,325,434,378,322,195,249,180,216,203,152,95,136,123,75,112,72,46,91,33,37,40,569,"52,416","1,276","66,986","1,466",0.437,0.0089,"23,856",551
..35 to 44 years,"21,164",560,528,609,710,"1,021",815,906,878,896,825,692,792,946,727,678,689,525,597,619,445,555,429,428,388,399,377,359,224,215,295,289,169,178,145,183,166,167,133,76,68,"1,464","67,594","1,201","87,082","1,369",0.436,0.0057,"26,086",444
..45 to 54 years,"23,664",775,754,778,986,975,791,935,861,913,851,808,758,859,680,785,667,692,589,608,580,688,480,494,398,411,384,274,275,277,305,451,207,227,210,209,148,189,168,149,107,"1,965","70,598","1,285","92,308","1,592",0.461,0.0070,"32,531",605
..55 to 64 years,"23,395",885,"1,000","1,292","1,212","1,053",949,919,841,981,860,829,762,923,704,743,583,721,501,466,535,442,399,335,375,272,257,278,248,225,220,328,199,151,215,158,150,196,131,119,94,"1,845","60,481","1,116","85,281","1,955",0.497,0.0087,"38,904",841
65 years and over,"29,069",665,"1,381","2,820","2,812","2,244","2,258","1,618","1,593","1,370","1,172","1,275",970,941,646,738,810,647,484,392,336,342,253,317,247,205,147,186,212,144,151,92,66,103,79,88,118,101,49,57,35,905,"37,297",780,"57,006","1,378",0.495,0.0102,"31,698",790
..65 to 74 years,"16,169",343,607,"1,171","1,202",939,"1,104",750,947,833,768,791,585,581,472,501,524,408,375,244,233,261,173,270,140,115,111,101,138,105,119,58,36,75,58,55,105,86,49,43,27,668,"46,342","1,320","67,297","2,218",0.488,0.0144,"35,034","1,217"
..75 years and over,"12,899",321,774,"1,649","1,609","1,305","1,154",869,646,538,403,485,385,361,173,237,286,239,110,149,103,82,80,47,106,90,36,86,74,39,32,34,30,28,21,33,13,16,0,13,8,237,"28,384",782,"44,108","1,325",0.477,0.0117,"26,815",854
Mean age of householder,50.76,46.83,53.76,56.64,56.37,52.68,53.49,50.67,50.73,49.47,49.23,50.94,49.81,48.59,47.95,49.38,50.21,49.94,48.45,47.66,49.39,47.94,47.58,47.69,50.64,47.86,47.75,48.32,50.18,48.47,49.64,49.03,48.73,49.05,49.83,49.85,50.96,49.70,49.61,50.80,50.30,51.25,(X),(X),(X),(X),(X),(X),(X),(X)
SIZE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"34,593","2,198","2,827","4,375","3,866","3,012","2,376","2,006","1,775","1,729","1,295","1,193","1,052","1,052",665,620,550,534,329,319,221,356,233,188,177,243,171,117,125,63,82,103,35,28,70,56,34,80,22,50,5,359,"26,877",540,"39,774",773,0.484,0.0063,"39,774",773
Two people,"41,059","1,000",804,"1,274","1,587","2,115","2,277","1,936","1,968","1,997","1,842","1,863","1,527","1,853","1,467","1,573","1,348","1,409",985,"1,012",865,824,700,711,593,443,489,502,479,462,379,496,237,252,243,248,231,257,159,150,159,"2,342","60,839",723,"80,531","1,295",0.444,0.0074,"39,716",643
Three people,"19,592",586,510,629,720,758,753,883,816,776,779,643,742,696,680,679,723,619,640,634,502,404,386,432,304,313,247,295,225,173,218,186,188,154,149,165,125,140,119,69,51,"1,480","68,400","1,618","88,393","1,885",0.449,0.0085,"28,800",626
Four people,"16,486",256,245,331,471,588,453,620,505,623,565,592,600,730,480,496,551,451,482,458,461,544,412,327,354,404,273,251,246,218,202,336,244,194,172,178,161,153,125,90,76,"1,565","81,484","1,727","104,821","2,026",0.434,0.0083,"25,943",509
Five people,"7,689",101,117,187,254,251,251,268,319,361,293,277,274,402,246,270,214,159,155,188,171,261,214,201,135,119,142,84,76,90,164,138,48,112,77,60,44,69,51,42,50,754,"74,482","1,976","100,862","2,839",0.438,0.0122,"19,907",594
Six people,"2,972",66,53,61,117,131,125,177,154,106,142,118,72,107,88,98,108,105,102,57,69,96,57,95,21,55,34,42,26,37,18,35,9,14,36,17,15,53,22,29,0,206,"68,157","3,927","87,905","3,934",0.440,0.0162,"14,681",685
Seven people or more,"1,540",48,29,33,70,54,47,97,45,100,93,57,38,74,60,46,55,35,57,19,27,36,16,18,31,28,25,43,5,13,23,22,9,10,19,0,17,6,13,14,6,106,"63,711","3,552","90,845","6,200",0.470,0.0287,"11,723",829
Mean size of household,2.53,1.92,1.78,1.69,1.95,2.09,2.17,2.38,2.36,2.43,2.54,2.51,2.54,2.68,2.66,2.71,2.78,2.71,2.94,2.83,3.01,3.02,2.98,3.05,3.03,3.03,2.96,3.11,2.90,3.06,3.23,3.17,3.22,3.27,3.18,3.05,3.14,3.17,3.34,3.14,3.14,3.20,(X),(X),(X),(X),(X),(X),(X),(X)
NUMBER OF EARNERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"29,073","3,425","3,066","4,397","3,720","2,711","2,201","1,531","1,323",906,766,795,528,569,338,361,396,368,174,157,115,103,133,93,112,107,63,74,94,46,61,42,6,5,55,0,19,12,6,20,17,158,"19,896",402,"30,195",624,0.505,0.0057,"18,319",377
One earner,"46,954",759,"1,443","2,235","2,968","3,582","3,116","3,292","3,056","3,070","2,434","2,212","1,907","2,147","1,394","1,405","1,253","1,177",998,858,572,846,482,491,351,466,392,261,290,275,245,365,148,160,146,160,121,164,98,97,55,"1,462","44,889",704,"61,690",964,0.443,0.0064,"28,154",484
Two earners or more,"47,904",69,77,259,396,616,965,"1,165","1,203","1,716","1,809","1,736","1,870","2,199","1,954","2,016","1,900","1,768","1,578","1,673","1,629","1,570","1,403","1,389","1,152","1,032",927,999,798,735,779,909,615,599,565,563,487,581,408,327,274,"5,192","91,938",823,"115,741","1,304",0.375,0.0055,"34,126",416
..Two earners,"38,670",69,77,239,359,574,924,"1,077","1,086","1,501","1,568","1,511","1,630","1,831","1,653","1,749","1,593","1,429","1,212","1,351","1,248","1,189","1,078","1,058",873,794,746,793,650,608,549,705,407,429,398,450,359,407,283,210,211,"3,792","86,583",848,"110,861","1,448",0.380,0.0066,"35,547",496
..Three earners,"7,043",0,0,20,37,34,36,88,115,201,236,207,223,289,264,203,271,271,319,260,320,290,255,184,223,186,146,120,115,93,137,128,137,127,103,74,110,98,95,80,48,900,"101,894","1,759","127,744","3,276",0.348,0.0113,"30,246",878
..Four earners or more,"2,191",0,0,0,0,7,5,0,2,13,5,18,17,79,37,65,36,67,48,63,62,91,71,147,56,51,36,86,32,34,94,77,71,43,64,39,19,77,30,36,15,499,"141,026","8,336","163,264","6,294",0.302,0.0183,"29,517","1,298"
Mean number of earners,1.28,0.21,0.36,0.41,0.55,0.72,0.83,0.97,1.04,1.20,1.30,1.29,1.40,1.46,1.56,1.56,1.55,1.61,1.70,1.76,1.92,1.83,1.88,1.95,1.94,1.80,1.84,2.01,1.81,1.87,2.02,1.93,2.27,2.08,2.04,2.07,2.04,2.17,2.15,2.09,2.01,2.08,(X),(X),(X),(X),(X),(X),(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"123,931","4,253","4,586","6,891","7,085","6,909","6,282","5,988","5,583","5,692","5,009","4,742","4,304","4,915","3,687","3,782","3,548","3,312","2,750","2,687","2,317","2,520","2,019","1,973","1,615","1,605","1,382","1,334","1,182","1,056","1,085","1,316",769,764,765,724,628,757,512,443,347,"6,811","53,585",654,"75,195",664,0.482,0.0037,"29,747",260
Worked,"81,013",750,"1,330","2,158","2,745","3,401","3,252","3,576","3,419","3,983","3,482","3,335","3,145","3,709","2,889","2,958","2,747","2,587","2,151","2,198","1,982","2,105","1,680","1,667","1,375","1,317","1,126","1,130",940,861,911,"1,096",704,643,648,663,550,675,438,397,311,"5,979","68,539",863,"91,303",887,0.435,0.0044,"33,818",323
.Worked at full time jobs,"66,813",323,624,"1,155","1,680","2,453","2,526","2,892","2,699","3,187","2,804","2,723","2,523","3,230","2,488","2,644","2,410","2,304","1,866","1,929","1,820","1,874","1,484","1,484","1,220","1,199","1,006","1,054",855,796,800,977,628,562,571,580,465,630,403,360,292,"5,295","73,792",816,"96,447","1,036",0.417,0.0050,"35,537",383
...50 weeks or more,"57,513",103,216,719,"1,073","1,860","1,977","2,299","2,189","2,704","2,289","2,422","2,123","2,870","2,249","2,337","2,151","2,092","1,712","1,696","1,624","1,789","1,319","1,337","1,080","1,152",902,"1,015",820,731,729,891,599,543,532,527,420,597,359,324,244,"4,896","77,580",864,"100,969","1,128",0.403,0.0053,"37,129",425
...27 to 49 weeks,"5,702",36,108,175,317,374,307,337,327,351,286,194,290,295,152,228,181,136,94,157,126,57,90,72,105,41,77,28,21,56,40,71,27,15,26,31,41,22,20,24,43,322,"55,498","1,780","76,738","2,759",0.451,0.0157,"28,439","1,152"
...26 weeks or less,"3,598",184,299,260,289,218,242,255,183,132,230,107,110,64,87,79,78,76,60,75,70,28,75,74,36,6,27,11,14,10,31,15,3,4,14,22,4,10,24,12,5,77,"36,082","1,824","55,401","3,002",0.506,0.0225,"20,899","1,208"
.Worked at part time jobs,"14,200",427,706,"1,003","1,065",948,727,684,720,796,678,612,622,480,400,313,337,284,285,269,162,231,196,183,154,118,120,76,85,64,111,118,76,82,77,83,85,45,35,38,19,684,"45,217","1,344","67,097","1,877",0.502,0.0100,"25,479",733
...50 weeks or more ,"8,037",65,319,519,609,526,405,386,412,411,366,372,341,332,228,196,173,182,152,155,124,150,121,140,88,55,102,38,58,49,62,79,45,34,62,56,58,40,35,22,16,452,"50,009","1,421","73,350","2,742",0.488,0.0133,"27,778","1,101"
...27 to 49 weeks ,"2,768",28,200,152,227,226,161,99,115,201,161,109,124,58,74,75,78,61,75,81,15,26,20,20,18,13,12,16,27,3,17,8,14,24,10,27,26,2,0,12,0,153,"44,405","1,711","67,101","4,006",0.506,0.0178,"26,347","1,495"
...26 weeks or less ,"3,395",334,187,332,229,197,160,199,193,184,150,131,156,90,98,42,85,41,58,34,23,56,55,23,48,50,6,22,1,12,32,31,17,24,6,0,1,3,0,3,3,79,"36,035","1,687","52,293","2,910",0.517,0.0250,"19,462","1,082"
Did not work,"42,917","3,503","3,256","4,733","4,340","3,508","3,029","2,411","2,164","1,709","1,527","1,408","1,159","1,206",798,825,802,725,599,489,335,416,338,307,240,288,256,204,242,195,174,220,65,121,117,61,78,82,74,46,36,832,"28,347",567,"44,788",759,0.517,0.0058,"20,329",344
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 25 years and over","117,279","3,706","4,269","6,348","6,703","6,172","5,828","5,564","5,221","5,274","4,698","4,454","4,092","4,660","3,434","3,691","3,438","3,202","2,650","2,645","2,221","2,461","1,940","1,897","1,602","1,537","1,345","1,314","1,161","1,011","1,065","1,296",764,733,762,710,627,744,512,437,345,"6,748","55,407",486,"76,898",689,0.479,0.0038,"30,316",275
Less than 9th grade,"4,970",293,555,668,617,426,433,329,342,222,213,155,120,95,39,84,27,54,26,50,29,40,15,21,0,18,0,29,4,0,19,24,6,0,0,0,0,0,0,9,0,7,"23,933","1,287","32,974","1,775",0.463,0.0253,"11,723",670
"9th to 12th grade, no diploma","7,880",570,865,910,922,748,487,488,511,422,224,220,195,253,173,101,153,82,71,45,71,52,34,30,26,51,15,6,16,19,10,0,7,5,0,0,15,43,0,0,1,39,"24,478",863,"37,294","2,698",0.505,0.0327,"13,518","1,002"
High school graduate (includes equivalency),"32,426","1,278","1,356","2,454","2,374","2,388","2,140","2,048","1,676","1,764","1,402","1,356","1,153","1,299",913,"1,123",867,839,746,604,575,524,329,382,348,241,205,286,200,121,181,170,134,72,107,75,62,40,58,46,38,452,"41,146",580,"53,989",858,0.441,0.0063,"22,091",375
"Some college, no degree","20,851",602,830,"1,041","1,327","1,143","1,233",942,"1,053","1,033",960,952,791,882,691,636,681,523,473,426,383,433,348,295,312,245,252,210,180,142,221,151,112,128,147,84,84,112,66,50,87,588,"51,055",748,"66,997","1,405",0.447,0.0078,"26,632",555
Associate degree,"12,307",328,213,476,523,598,628,692,536,579,528,515,579,589,502,400,381,400,344,389,312,226,257,256,203,215,129,130,128,77,89,107,81,69,97,66,74,98,62,49,14,366,"59,452","1,648","71,333","1,430",0.399,0.0068,"27,701",582
Bachelor's degree or more,"38,845",635,449,799,940,867,907,"1,065","1,102","1,254","1,370","1,255","1,253","1,543","1,116","1,346","1,329","1,303",992,"1,129",851,"1,186",958,913,714,767,743,652,633,652,546,845,425,459,411,485,393,449,326,282,204,"5,295","89,459","1,333","116,754","1,702",0.431,0.0061,"46,102",653
..Bachelor's degree,"24,275",417,307,551,618,646,561,891,792,857,871,869,768,962,738,958,811,850,635,704,557,799,684,551,413,470,425,409,419,446,260,412,232,237,254,249,228,246,201,175,127,"2,675","82,467","1,321","106,034","1,821",0.421,0.0067,"41,658",717
..Master's degree,"10,701",163,81,181,223,154,286,125,236,314,417,287,396,484,275,313,401,372,277,356,257,285,161,277,233,195,246,167,152,169,244,329,147,179,116,181,111,83,87,79,68,"1,594","95,120","2,245","123,957","3,449",0.417,0.0114,"49,105","1,290"
..Professional degree,"1,682",38,18,27,83,16,29,25,35,33,52,48,27,44,33,25,82,37,15,8,22,30,56,46,22,22,31,50,5,21,25,46,20,19,19,23,23,32,16,10,7,461,"118,428","10,099","164,216","11,381",0.482,0.0292,"65,370","4,635"
