"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
South,"49,743","2,084","1,398","2,315","2,586","2,364","2,279","2,463","2,233","2,060","1,987","2,165","1,796","1,777","1,588","1,397","1,551","1,275","1,063","1,082",958,"1,094",861,798,700,742,622,596,468,505,462,545,342,365,324,299,274,227,254,199,160,"3,484","57,299",499,"81,963",796,0.489,0.0033,"32,981",313
..South Atlantic,"26,666","1,071",705,"1,203","1,332","1,164","1,241","1,289","1,171","1,072","1,045","1,105",979,896,809,757,860,738,600,597,499,601,414,471,421,412,366,330,260,260,240,259,177,212,202,132,149,146,183,130,91,"2,078","59,748",814,"85,138","1,134",0.489,0.0046,"34,995",453
..East South Central,"7,741",329,246,426,455,430,409,395,364,296,338,364,291,318,268,201,183,233,134,138,149,169,135,126,103,98,87,83,58,71,68,72,54,38,50,45,35,22,27,34,24,373,"51,849",845,"73,828","1,889",0.489,0.0100,"30,192",748
..West South Central,"15,336",684,447,686,798,770,629,780,698,692,604,696,525,564,511,439,508,304,329,347,310,324,312,201,176,233,168,183,149,173,154,214,111,115,72,122,90,59,44,35,45,"1,033","56,612",942,"80,547","1,415",0.488,0.0061,"31,025",529
West,"29,096",818,662,"1,113","1,085","1,236","1,078","1,181","1,218","1,204","1,006","1,092",962,"1,070",895,887,930,815,744,691,614,646,594,576,477,448,416,443,398,303,332,335,252,295,224,222,225,176,170,122,150,"2,991","69,520",969,"97,403","1,147",0.480,0.0041,"36,505",416
..Mountain,"9,669",257,265,319,409,480,331,470,383,413,367,387,358,405,321,306,318,266,245,249,213,184,202,210,156,156,125,143,124,112,107,106,80,78,67,58,64,69,49,33,30,755,"64,833","1,175","88,739","1,746",0.465,0.0054,"34,892",673
..Pacific,"19,427",562,397,794,676,756,747,711,835,790,639,704,604,665,574,580,613,549,499,442,401,462,392,366,322,292,291,300,274,191,225,229,172,217,157,164,162,107,121,89,120,"2,236","71,727",896,"101,716","1,584",0.485,0.0054,"37,252",566
TYPE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"83,482","1,593","1,118","1,689","1,944","2,628","2,782","3,113","3,194","2,987","2,922","3,233","2,914","3,059","2,742","2,638","2,798","2,486","2,352","2,349","2,044","2,237","1,944","1,860","1,634","1,600","1,471","1,399","1,175","1,162","1,137","1,268",845,958,832,770,724,636,629,522,513,"9,581","80,663",404,"107,922",696,0.445,0.0025,"33,658",234
.Married-couple families,"61,959",697,418,648,862,"1,359","1,585","1,844","2,028","1,943","1,912","2,218","2,039","2,183","1,972","1,916","2,142","1,919","1,812","1,882","1,700","1,845","1,612","1,568","1,357","1,361","1,230","1,196","1,005","1,012",956,"1,118",733,842,738,676,663,574,554,468,477,"8,894","93,654",684,"122,128",798,0.421,0.0027,"38,309",269
".Male householder, no spouse present","6,480",117,127,234,213,252,300,291,316,314,318,320,312,321,285,235,228,175,185,165,150,134,146,109,111,99,78,91,56,40,65,50,48,51,20,52,29,22,33,15,15,357,"61,518",757,"81,698","1,838",0.436,0.0106,"25,097",579
".Female householder, no spouse present","15,043",779,573,808,870,"1,017",897,978,850,730,692,695,562,555,485,487,428,392,355,302,194,257,187,183,165,140,163,112,115,110,116,99,64,65,73,43,31,40,42,39,21,331,"45,128",678,"60,709",873,0.463,0.0066,"18,614",282
Nonfamily households,"45,096","2,691","2,219","3,820","3,828","3,043","2,687","2,709","2,209","2,208","1,917","2,067","1,503","1,545","1,257","1,156","1,152",863,712,754,537,630,504,457,337,405,310,280,251,252,179,224,133,204,138,135,111,137,56,62,52,"1,365","38,122",501,"56,882",656,0.511,0.0048,"45,384",533
.Male householder,"21,582","1,189",837,"1,414","1,465","1,163","1,126","1,300","1,026","1,085",945,"1,099",756,839,662,646,688,478,381,428,308,374,273,273,206,250,183,121,177,157,97,146,77,122,82,88,64,80,36,49,43,848,"45,754",528,"64,999","1,111",0.499,0.0067,"49,158",861
..Living alone,"16,529","1,073",788,"1,340","1,352","1,031",956,"1,117",846,897,762,893,558,647,429,422,456,289,240,300,194,247,145,152,102,131,97,74,100,101,53,80,26,41,32,40,23,35,4,21,18,414,"38,330",805,"54,329","1,160",0.501,0.0091,"54,329","1,160"
.Female householder,"23,515","1,502","1,382","2,406","2,362","1,880","1,561","1,409","1,184","1,122",972,968,747,706,595,511,464,385,331,325,229,256,231,184,131,155,127,159,74,95,82,77,56,81,56,46,47,56,20,13,9,517,"32,007",405,"49,432",820,0.513,0.0062,"41,536",670
..Living alone ,"19,950","1,411","1,339","2,320","2,276","1,746","1,449","1,272","1,049",959,817,813,578,595,453,353,338,262,227,213,149,167,128,117,69,86,63,85,44,56,40,52,22,22,30,31,20,33,1,9,4,254,"27,542",469,"41,831",841,0.500,0.0078,"41,831",841
AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,423","3,080","2,126","3,035","3,063","3,369","3,405","3,724","3,630","3,529","3,490","3,910","3,236","3,388","2,960","2,967","3,091","2,673","2,401","2,511","2,106","2,353","1,969","1,904","1,619","1,674","1,491","1,384","1,185","1,182","1,118","1,283",848,"1,010",836,757,685,650,581,499,477,"9,223","71,659",349,"98,262",683,0.471,0.0025,"35,331",235
..15 to 24 years,"6,199",438,203,236,363,418,374,452,340,329,323,302,228,259,198,215,217,140,113,112,58,76,65,83,73,62,70,32,28,20,44,11,32,27,13,18,13,5,26,6,7,170,"43,531","1,635","61,240","1,979",0.490,0.0132,"24,910",764
..25 to 34 years,"20,611",677,432,494,578,723,764,894,906,983,950,950,887,901,769,772,790,693,564,589,586,465,439,418,362,389,322,307,246,195,160,224,132,200,122,105,105,103,101,78,62,"1,173","65,890",654,"84,951","1,076",0.435,0.0057,"31,335",438
..35 to 44 years,"21,370",472,379,554,585,667,726,737,746,780,763,854,611,791,603,632,667,649,609,583,525,550,519,501,428,414,350,357,325,304,327,333,221,287,223,233,169,194,109,120,155,"2,319","80,743",651,"105,399","1,189",0.448,0.0044,"31,145",374
..45 to 54 years,"22,071",599,386,612,550,657,612,763,749,634,671,821,689,649,683,654,728,628,551,577,435,643,461,514,379,430,382,375,287,342,334,403,247,258,257,206,229,164,201,154,130,"3,026","84,464","1,121","115,697","1,420",0.468,0.0048,"39,606",497
..55 to 64 years,"24,172",893,726,"1,138",988,903,929,878,888,803,782,983,821,788,706,694,689,563,564,650,502,619,486,389,377,379,367,314,300,321,254,312,216,238,221,195,170,184,143,142,123,"2,535","68,951",878,"96,879","1,296",0.490,0.0046,"42,814",637
65 years and over,"34,156","1,203","1,211","2,475","2,709","2,303","2,064","2,098","1,774","1,665","1,350","1,389","1,181","1,215","1,039",828,858,677,663,592,475,513,479,413,352,330,289,294,241,232,198,209,130,151,134,149,150,122,105,84,88,"1,723","43,696",496,"67,238",710,0.503,0.0038,"37,283",417
..65 to 74 years,"19,681",576,633,"1,193","1,197","1,114","1,022","1,075",957,931,733,809,696,762,648,565,566,463,451,415,316,381,310,286,250,232,193,217,183,172,139,134,96,126,93,104,112,81,93,53,72,"1,232","52,465",776,"76,669","1,035",0.493,0.0050,"39,725",546
..75 years and over,"14,475",628,578,"1,282","1,512","1,188","1,042","1,023",817,734,617,581,485,453,392,263,292,213,212,177,159,132,170,128,102,98,97,77,58,60,59,74,34,25,41,44,38,41,12,31,16,491,"34,925",544,"54,416",932,0.501,0.0062,"33,355",593
Mean age of householder,51.66,51.64,55.60,59.13,58.95,55.69,54.88,53.65,52.81,51.79,50.70,50.87,50.92,50.24,50.61,49.14,49.10,48.50,49.52,49.21,48.51,49.65,49.50,48.51,48.63,48.20,48.78,48.94,48.75,50.34,49.13,49.39,48.88,47.96,49.65,49.70,50.83,50.34,49.28,50.55,49.53,50.75,(X),(X),(X),(X),(X),(X),(X),(X)
SIZE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"36,479","2,484","2,126","3,659","3,627","2,777","2,405","2,390","1,895","1,856","1,579","1,706","1,137","1,242",882,775,794,550,467,513,342,414,273,269,171,217,160,159,144,157,93,132,48,63,62,71,43,69,5,30,22,668,"31,954",289,"47,494",648,0.505,0.0057,"47,494",648
Two people,"44,373","1,073",635,"1,052","1,220","1,698","1,768","1,939","1,985","1,804","1,681","1,957","1,745","1,696","1,628","1,538","1,564","1,306","1,238","1,219",986,"1,107",956,949,803,831,700,600,535,534,455,507,388,478,365,308,317,289,267,216,163,"3,877","70,870",501,"95,828",892,0.449,0.0035,"47,301",463
Three people,"19,374",373,281,400,447,546,610,683,660,690,696,651,687,740,641,646,629,599,590,547,510,496,471,436,404,378,343,348,297,272,280,312,194,216,199,175,163,139,178,99,131,"2,217","82,139",776,"108,614","1,314",0.440,0.0049,"34,812",446
Four people,"16,413",228,156,243,269,341,375,416,494,468,472,507,483,512,488,473,554,506,452,519,427,526,431,387,336,306,372,332,271,246,317,339,205,238,188,190,188,153,136,146,152,"2,570","97,522","1,096","125,561","1,466",0.423,0.0050,"30,371",370
Five people,"7,429",82,82,107,122,181,188,240,243,212,257,291,222,233,194,214,259,234,211,189,185,190,214,175,152,161,133,160,118,134,110,132,81,105,105,110,79,81,57,59,66,"1,061","93,297","1,921","121,292","1,978",0.427,0.0064,"23,488",394
Six people,"2,909",30,23,34,56,77,78,112,90,99,91,129,79,105,117,94,96,108,75,75,98,79,76,72,54,68,51,53,45,50,41,48,40,30,37,30,22,30,29,17,19,354,"86,820","2,153","115,768","3,051",0.428,0.0095,"18,444",506
Seven people or more,"1,602",13,35,16,30,51,45,42,37,67,64,59,64,76,50,55,54,47,31,39,33,55,28,29,50,43,21,27,15,20,20,23,22,31,15,21,23,11,14,18,11,200,"84,702","3,372","116,824","4,323",0.442,0.0134,"14,504",542
Mean size of household,2.52,1.75,1.74,1.63,1.72,1.97,2.06,2.14,2.26,2.27,2.37,2.37,2.49,2.50,2.58,2.62,2.67,2.80,2.78,2.78,2.91,2.90,2.98,2.90,3.02,2.96,3.00,3.11,3.03,3.02,3.19,3.18,3.20,3.15,3.19,3.24,3.24,3.17,3.26,3.30,3.46,3.22,(X),(X),(X),(X),(X),(X),(X),(X)
NUMBER OF EARNERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"30,736","3,661","2,341","3,874","3,498","2,545","2,085","1,932","1,483","1,296","1,016",942,748,753,586,460,431,316,292,237,212,180,200,182,134,131,119,114,82,73,82,67,42,47,39,52,48,37,19,13,16,352,"23,875",303,"36,824",472,0.520,0.0037,"23,098",296
One earner,"46,467",575,900,"1,484","2,009","2,698","2,782","3,126","2,924","2,708","2,469","2,824","2,040","2,197","1,514","1,529","1,555","1,191","1,023","1,122",736,"1,058",656,609,440,582,458,379,318,346,250,430,167,209,156,190,157,153,101,121,94,"2,185","51,971",253,"73,989",686,0.453,0.0041,"34,247",345
Two earners or more,"51,376",47,96,151,264,428,601,764,996,"1,191","1,355","1,534","1,630","1,654","1,900","1,806","1,963","1,843","1,749","1,743","1,633","1,628","1,593","1,527","1,396","1,291","1,204","1,186","1,026",995,984,995,769,905,776,663,630,583,565,449,455,"8,409","106,818",445,"136,347",953,0.375,0.0030,"40,071",317
..Two earners,"40,981",47,95,131,252,392,568,684,913,"1,082","1,247","1,393","1,429","1,393","1,638","1,539","1,631","1,528","1,439","1,421","1,329","1,290","1,250","1,232","1,083",989,913,934,792,706,691,762,549,658,569,475,444,456,412,319,324,"5,981","101,091",491,"129,567","1,049",0.379,0.0035,"41,802",382
..Three earners,"7,734",0,1,20,12,35,29,76,69,93,102,126,185,227,215,217,271,257,250,264,237,269,244,219,225,231,208,192,161,222,208,152,155,183,137,113,118,91,113,84,100,"1,621","124,824","1,560","156,255","2,476",0.356,0.0070,"36,786",625
..Four earners or more,"2,661",0,0,0,1,1,4,4,15,16,6,15,16,33,47,50,60,58,60,58,67,69,99,76,88,71,83,61,73,66,85,80,65,64,70,76,68,35,39,46,31,807,"153,486","2,198","182,892","3,631",0.313,0.0095,"32,574",692
Mean number of earners,1.30,0.16,0.33,0.33,0.45,0.64,0.75,0.83,0.96,1.03,1.12,1.17,1.28,1.29,1.45,1.48,1.53,1.62,1.65,1.66,1.75,1.69,1.82,1.80,1.91,1.83,1.90,1.89,1.96,1.98,2.06,1.92,2.12,2.07,2.13,2.05,2.09,2.02,2.16,2.13,2.14,2.12,(X),(X),(X),(X),(X),(X),(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"128,579","4,283","3,337","5,510","5,772","5,672","5,469","5,822","5,404","5,195","4,839","5,300","4,417","4,604","3,999","3,795","3,950","3,349","3,064","3,102","2,581","2,866","2,449","2,318","1,971","2,004","1,780","1,678","1,426","1,414","1,316","1,492",978,"1,161",970,905,835,772,686,584,565,"10,946","63,179",420,"90,021",546,0.486,0.0021,"35,702",213
Worked,"84,315",517,859,"1,423","1,953","2,626","2,726","3,232","3,218","3,244","3,182","3,663","3,059","3,174","2,923","2,890","2,994","2,555","2,384","2,462","2,099","2,317","1,974","1,904","1,624","1,644","1,459","1,383","1,223","1,220","1,106","1,227",860,"1,001",851,752,725,672,613,519,501,"9,559","80,762",398,"109,043",714,0.436,0.0024,"40,147",262
.Worked at full time jobs,"71,083",208,397,754,"1,197","1,785","2,025","2,573","2,534","2,705","2,716","3,135","2,641","2,756","2,517","2,499","2,615","2,303","2,110","2,142","1,835","2,064","1,714","1,704","1,434","1,482","1,316","1,271","1,083","1,112",970,"1,113",762,891,753,678,642,604,554,455,459,"8,573","85,355",516,"113,931",816,0.422,0.0027,"41,604",300
...50 weeks or more,"62,551",114,127,415,802,"1,353","1,626","2,163","2,144","2,333","2,376","2,719","2,288","2,467","2,195","2,216","2,310","2,075","1,871","1,954","1,684","1,879","1,593","1,592","1,303","1,365","1,197","1,157",976,"1,011",909,"1,012",680,834,705,629,606,562,523,437,435,"7,914","88,920",722,"117,817",850,0.414,0.0028,"43,026",319
...27 to 49 weeks,"5,612",15,89,110,227,295,240,262,276,252,219,292,241,212,228,183,206,152,166,142,118,122,82,86,93,76,81,89,85,82,44,78,60,36,37,30,31,28,21,11,23,498,"66,436","1,067","91,998","2,182",0.444,0.0094,"33,486",776
...26 weeks or less,"2,920",80,181,229,168,136,160,148,114,121,121,125,112,78,93,101,100,75,73,46,33,63,39,26,37,41,39,25,22,19,18,23,21,22,11,19,5,14,10,7,2,161,"50,048","1,459","72,830","3,188",0.509,0.0170,"26,733","1,189"
.Worked at part time jobs,"13,232",309,462,669,756,841,701,659,685,539,466,528,418,418,406,391,379,253,274,320,263,253,260,200,190,162,143,112,139,107,136,114,99,110,97,74,82,68,60,65,41,986,"55,025",990,"82,787","1,282",0.500,0.0062,"31,890",547
...50 weeks or more ,"7,663",52,197,342,452,464,420,390,407,292,243,276,237,259,258,256,230,163,170,225,141,160,148,151,114,83,82,79,89,63,79,80,62,74,65,53,46,42,23,40,31,626,"61,134","1,292","88,921","1,903",0.491,0.0085,"34,010",768
...27 to 49 weeks ,"2,837",44,109,129,165,180,133,150,174,131,110,128,107,73,81,75,83,33,47,49,70,44,71,32,44,55,35,27,22,29,44,18,12,21,18,11,17,12,20,17,8,210,"53,146","1,962","81,424","2,800",0.487,0.0110,"30,929","1,103"
...26 weeks or less ,"2,732",213,157,198,140,197,147,119,104,116,113,124,73,86,67,60,66,57,57,46,52,49,40,18,33,23,26,6,28,16,12,16,25,15,14,10,19,13,17,8,2,150,"43,765","1,976","66,995","2,307",0.531,0.0107,"26,736",947
Did not work,"44,264","3,766","2,478","4,087","3,819","3,046","2,742","2,590","2,185","1,951","1,658","1,637","1,358","1,430","1,077",904,956,794,680,640,482,549,475,414,347,360,321,295,203,194,210,265,118,160,120,153,111,101,72,64,64,"1,387","34,127",402,"53,787",537,0.530,0.0034,"25,010",264
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 25 years and over","122,380","3,845","3,134","5,273","5,409","5,254","5,095","5,370","5,064","4,866","4,516","4,997","4,190","4,344","3,801","3,580","3,732","3,210","2,951","2,991","2,523","2,790","2,384","2,235","1,898","1,942","1,711","1,647","1,398","1,394","1,272","1,481",946,"1,134",957,887,822,767,660,578,558,"10,776","64,761",411,"91,479",539,0.484,0.0021,"36,235",215
Less than 9th grade,"4,100",260,297,559,425,375,287,236,204,167,153,181,126,123,95,75,86,58,38,46,53,40,28,16,22,26,6,8,12,14,3,10,3,10,2,2,14,2,3,1,0,38,"26,875",710,"39,230","1,004",0.471,0.0080,"13,342",291
"9th to 12th grade, no diploma","7,132",501,578,864,669,554,474,469,419,315,299,303,213,209,141,108,139,111,87,91,64,62,34,29,32,33,42,44,20,22,26,17,18,11,12,17,10,12,10,12,1,63,"29,204",744,"41,387",872,0.488,0.0074,"15,332",324
High school graduate (includes equivalency),"31,806","1,385","1,074","1,929","2,018","1,918","1,928","1,895","1,794","1,590","1,428","1,468","1,193","1,233","1,067",939,910,735,672,725,489,584,510,459,361,355,302,265,211,200,179,196,126,130,134,102,96,75,78,56,53,945,"46,073",444,"62,308",688,0.461,0.0041,"25,473",294
"Some college, no degree","20,741",603,535,914,"1,056",996,959,"1,011",969,"1,031",853,948,791,824,770,678,728,645,521,514,460,432,382,342,306,329,304,254,190,212,175,201,144,156,134,133,79,82,73,71,66,871,"57,807",777,"74,952","1,040",0.441,0.0051,"30,342",375
Associate degree,"13,195",324,172,339,484,554,492,723,610,562,620,623,507,518,467,476,499,416,337,376,322,317,308,248,248,213,192,189,164,173,136,190,104,121,91,95,101,60,61,51,56,655,"65,647",829,"82,820","1,229",0.417,0.0069,"32,727",496
Bachelor's degree or more,"45,405",772,478,668,757,856,955,"1,037","1,068","1,200","1,163","1,474","1,361","1,436","1,262","1,305","1,371","1,245","1,296","1,237","1,136","1,355","1,121","1,141",928,987,866,887,801,773,753,868,550,706,585,539,523,536,434,387,382,"8,204","101,822",579,"134,566","1,222",0.436,0.0033,"53,023",461
..Bachelor's degree,"27,948",559,356,480,550,598,688,722,719,834,809,"1,019",913,960,810,822,920,830,776,771,685,812,733,722,563,599,567,523,524,453,409,495,304,375,330,348,301,297,239,212,230,"4,091","93,533","1,313","122,128","1,357",0.436,0.0042,"48,064",516
..Master's degree,"13,048",175,89,134,147,199,198,264,291,281,299,362,373,375,365,412,337,308,432,354,367,429,312,339,283,297,223,289,208,256,286,294,184,235,176,147,148,174,145,132,124,"2,606","110,252","1,741","140,987","2,059",0.409,0.0054,"55,320",785
