"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
"9th to 12th grade, no diploma","6,393",473,399,774,514,479,445,389,328,333,255,240,165,203,139,153,117,107,99,81,67,71,73,37,27,61,46,18,36,29,16,23,21,26,12,8,5,14,4,5,11,90,"31,162",608,"46,487","1,253",0.506,0.0102,"17,526",477
High school graduate (includes equivalency),"32,214","1,393",817,"1,946","1,806","1,959","1,794","1,825","1,573","1,592","1,259","1,391","1,186","1,316",997,"1,006",954,849,681,640,525,706,506,502,442,389,294,304,302,305,208,262,175,192,148,152,147,105,149,65,78,"1,271","50,401",483,"68,766",877,0.470,0.0049,"27,913",359
"Some college, no degree","20,056",647,395,825,997,971,932,926,873,832,848,904,695,747,668,685,662,567,498,390,424,509,409,419,291,230,300,317,225,248,172,218,125,157,123,134,112,88,105,87,74,"1,227","60,980",705,"81,948","1,203",0.460,0.0058,"33,444",489
Associate degree,"13,735",394,206,431,577,544,510,506,646,531,535,608,496,433,401,468,436,361,385,390,324,409,323,273,240,253,225,252,201,199,176,147,143,100,108,131,91,95,81,65,70,968,"70,450","1,020","88,952","1,306",0.433,0.0058,"36,075",546
Bachelor's degree or more,"49,125",778,417,636,653,808,978,932,"1,012","1,214","1,116","1,406","1,303","1,361","1,223","1,231","1,176","1,333","1,174","1,200","1,042","1,341","1,090","1,044",975,"1,139",912,952,833,920,738,956,789,759,627,696,598,706,600,524,471,"11,463","115,456","1,077","152,703","1,418",0.441,0.0033,"60,416",573
..Bachelor's degree,"29,886",525,276,408,449,549,645,670,683,863,785,991,823,939,820,776,724,849,757,776,695,848,692,673,615,640,578,600,500,527,433,552,499,447,390,411,341,435,352,289,258,"5,805","105,552",922,"139,063","1,521",0.438,0.0041,"55,132",617
..Master's degree,"14,311",203,105,186,143,192,247,195,250,285,272,327,407,323,308,380,382,356,332,320,268,420,315,305,289,389,270,277,254,299,229,312,231,223,166,223,179,193,196,168,163,"3,727","124,341","1,497","161,125","2,473",0.425,0.0053,"63,400","1,020"
..Professional degree,"2,043",18,16,10,35,42,43,31,26,34,36,29,23,48,36,28,26,67,32,54,36,19,33,30,20,58,19,32,31,39,29,44,18,25,16,27,39,18,25,28,25,798,"154,333","7,788","214,547","7,998",0.462,0.0117,"86,539","3,170"
..Doctorate degree,"2,885",32,21,32,26,24,43,36,53,33,23,58,49,51,59,46,44,61,54,50,43,53,49,36,51,52,44,42,48,55,47,48,42,65,55,35,39,59,28,39,25,"1,133","162,159","3,512","208,437","5,997",0.435,0.0113,"81,862","2,466"
Tenure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner occupied,"85,914","1,860","1,097","2,197","2,591","2,792","2,711","2,753","2,774","2,634","2,535","2,966","2,595","2,812","2,480","2,507","2,353","2,313","2,078","2,086","1,777","2,336","1,892","1,842","1,603","1,589","1,461","1,448","1,370","1,448","1,071","1,313","1,035","1,016",857,970,783,826,786,611,620,"13,129","87,059",510,"120,211",842,0.469,0.0026,"45,971",336
Renter occupied,"43,778","2,298","1,512","2,956","2,492","2,518","2,279","2,362","2,106","2,294","1,820","1,938","1,647","1,605","1,199","1,263","1,213","1,086",961,831,735,853,618,539,425,551,375,433,283,318,279,314,236,255,201,167,174,181,161,146,106,"2,049","47,435",589,"68,736",715,0.498,0.0040,"29,883",313
Occupier paid no cash rent,"1,509",141,49,157,119,102,74,88,47,71,69,68,35,24,45,48,36,26,20,26,19,24,15,6,21,16,11,12,2,5,5,19,4,6,0,4,9,13,4,2,9,59,"36,794","3,634","57,695","3,204",0.529,0.0139,"27,143","1,317"
